year,id,away_team_api_id,match_api_id,stage,season,home_away,defenceDefenderLineClass_opponent,score,opponent_team
2011,11191,9875,888404,25,2010/2011,home,Cover,-2,Napoli
2011,11202,10233,888415,26,2010/2011,away,NA,-1,Genoa
2011,11208,10167,888421,27,2010/2011,home,NA,0,Parma
2011,11217,9888,888430,28,2010/2011,away,Cover,1,Lecce
2011,11232,8543,888445,29,2010/2011,home,Cover,2,Lazio
2010,11239,9857,888182,3,2010/2011,home,Cover,0,Bologna
2011,11248,8535,888451,30,2010/2011,away,Cover,0,Fiorentina
2011,11260,9885,888463,31,2010/2011,home,NA,-2,Juventus
2011,11267,8600,888470,32,2010/2011,away,Cover,1,Udinese
2011,11283,8540,888486,33,2010/2011,home,Cover,-1,Palermo
2011,11295,8533,888498,34,2010/2011,home,Cover,1,Chievo Verona
2011,11303,9976,888506,35,2010/2011,away,Cover,1,Bari
2011,11308,8564,888511,36,2010/2011,home,Cover,0,Milan
2011,11322,8530,888525,37,2010/2011,away,Cover,-1,Catania
2011,11327,9882,888530,38,2010/2011,home,Cover,2,Sampdoria
2010,11345,9858,888198,4,2010/2011,away,NA,-1,Brescia
2010,11348,8636,888201,5,2010/2011,home,Cover,1,Inter
2010,11358,9875,888211,6,2010/2011,away,Cover,-2,Napoli
2010,11369,10233,888222,7,2010/2011,home,NA,1,Genoa
2010,11378,10167,888231,8,2010/2011,away,NA,0,Parma
2010,11387,9888,888240,9,2010/2011,home,Cover,2,Lecce
2011,11398,9857,1082899,1,2011/2012,away,Cover,2,Bologna
2011,11414,8564,1083087,10,2011/2012,home,Offside Trap,-1,Milan
2011,11424,6269,1083098,11,2011/2012,away,NA,2,Novara
2011,11435,9888,1083123,12,2011/2012,home,Cover,1,Lecce
2011,11446,8600,1083150,13,2011/2012,away,NA,-2,Udinese
2011,11450,8535,1083162,14,2011/2012,away,Offside Trap,-3,Fiorentina
2011,11464,9885,1083247,15,2011/2012,home,Offside Trap,0,Juventus
2011,11475,9875,1083272,16,2011/2012,away,Cover,2,Napoli
2012,11484,8533,1083293,17,2011/2012,home,Cover,2,Chievo Verona
2012,11487,8530,1083296,18,2011/2012,away,NA,0,Catania
2012,11504,9880,1083322,19,2011/2012,home,Cover,4,Cesena
2011,11516,8529,1082955,2,2011/2012,home,Offside Trap,-1,Cagliari
2012,11518,9857,1083329,20,2011/2012,home,Cover,0,Bologna
2012,11536,8529,1083365,21,2011/2012,away,NA,-2,Cagliari
2012,11540,8636,1083371,22,2011/2012,home,Cover,4,Inter
2012,11553,8551,1083401,23,2011/2012,away,Cover,-1,Siena
2012,11562,10167,1083410,24,2011/2012,home,Cover,1,Parma
2012,11572,8524,1083398,25,2011/2012,away,Cover,-3,Atalanta
2012,11579,8540,1083349,27,2011/2012,away,Cover,1,Palermo
2012,11583,10233,1083314,28,2011/2012,home,Cover,1,Genoa
2012,11596,8564,1083280,29,2011/2012,away,Cover,-1,Milan
2011,11603,8636,1082967,3,2011/2012,away,NA,0,Inter
2012,11612,6269,1083265,30,2011/2012,home,Cover,3,Novara
2012,11623,9888,1083249,31,2011/2012,away,Cover,-2,Lecce
2012,11634,8600,1083227,32,2011/2012,home,Cover,2,Udinese
2012,11638,8535,1083201,33,2011/2012,home,Cover,-1,Fiorentina
2012,11652,9885,1083194,34,2011/2012,away,Cover,-4,Juventus
2012,11663,9875,1083183,35,2011/2012,home,Offside Trap,0,Napoli
2012,11672,8533,1083165,36,2011/2012,away,Cover,0,Chievo Verona
2012,11675,8530,1083126,37,2011/2012,home,Offside Trap,0,Catania
2012,11692,9880,1083107,38,2011/2012,away,Cover,1,Cesena
2011,11704,8551,1082986,4,2011/2012,home,Cover,0,Siena
2011,11713,10167,1082998,5,2011/2012,away,NA,1,Parma
2011,11723,8524,1083009,6,2011/2012,home,NA,2,Atalanta
2011,11731,8543,1083021,7,2011/2012,away,NA,-1,Lazio
2011,11742,8540,1083040,8,2011/2012,home,NA,1,Palermo
2011,11748,10233,1083048,9,2011/2012,away,Cover,-1,Genoa
2012,11763,8530,1286974,1,2012/2013,home,Offside Trap,0,Catania
2012,11773,10167,1287065,10,2012/2013,away,NA,-1,Parma
2012,11782,8540,1287074,11,2012/2013,home,NA,3,Palermo
2012,11789,8543,1287081,12,2012/2013,away,Cover,-1,Lazio
2012,11801,9804,1287093,13,2012/2013,home,NA,2,Torino
2012,11812,9878,1287104,14,2012/2013,away,NA,1,Pescara
2012,11823,8551,1287115,15,2012/2013,away,Offside Trap,2,Siena
2012,11831,8535,1287123,16,2012/2013,home,Offside Trap,2,Fiorentina
2012,11836,8533,1287128,17,2012/2013,away,Offside Trap,-1,Chievo Verona
2012,11851,8564,1287143,18,2012/2013,home,Cover,2,Milan
2013,11862,9875,1287154,19,2012/2013,away,Cover,-3,Napoli
2012,11868,8636,1286980,2,2012/2013,away,Cover,2,Inter
2013,11883,8530,1287165,20,2012/2013,away,Cover,-1,Catania
2013,11888,8636,1287170,21,2012/2013,home,Cover,0,Inter
2013,11902,9857,1287184,22,2012/2013,away,Cover,0,Bologna
2013,11907,8529,1287189,23,2012/2013,home,NA,-2,Cagliari
2013,11922,9882,1287204,24,2012/2013,away,Cover,-2,Sampdoria
2013,11929,9885,1287211,25,2012/2013,home,Cover,1,Juventus
2013,11942,8524,1287224,26,2012/2013,away,Cover,1,Atalanta
2013,11948,10233,1287230,27,2012/2013,home,Cover,2,Genoa
